# Flux Probability
 0.18 0.0016
 0.19 0.0013
 0.21 0.0016
 0.22 0.0038
 0.24 0.0017
 0.25 0.0020
 0.27 0.0011
 0.29 0.0021
 0.31 0.0020
 0.34 0.0021
 0.36 0.0026
 0.38 0.0028
 0.41 0.0022
 0.44 0.0016
 0.47 0.0031
 0.51 0.0027
 0.54 0.0034
 0.58 0.0064
 0.62 0.0188
 0.67 0.0568
 0.72 0.1451
 0.77 0.2910
 0.82 0.4574
 0.88 0.6086
 0.94 0.7225
 1.01 0.7929
 1.08 0.8446
 1.16 0.8767
 1.25 0.8986
 1.33 0.9191
 1.43 0.9314
 1.53 0.9432
 1.64 0.9575
 1.76 0.9623
 1.88 0.9699
 2.02 0.9802
 2.16 0.9869
 2.32 0.9917
 2.48 0.9960
 2.66 0.9982
 2.85 0.9985
 3.06 0.9993
 3.28 0.9998
 3.51 1.0000
