|name        |t90     |t90_error|fluence   |fluence_error|flux_1024  |flux_1024_error|flux_64     |flux_64_error|
|GRB080913735|  41.217|    7.281|3.5447e-06|   8.6707e-08|     3.4050|         0.1824|      5.9880|       0.8835|
|GRB080916009|  62.977|    0.810|6.0272e-05|   6.9972e-08|    13.6635|         0.2933|     16.3989|       1.6469|
|GRB080916406|  46.337|    7.173|7.8107e-06|   8.1758e-08|     4.4700|         0.2880|      7.1018|       1.3541|
|GRB080919790|   0.512|    0.405|4.5867e-08|   5.0626e-09|     0.6759|         0.1805|      4.5580|       1.1432|
|GRB080920268| 113.921|    3.125|1.8684e-06|   6.3440e-08|     1.0764|         0.1085|      3.4937|       0.7773|
|GRB080924766|  39.937|    4.222|4.7270e-06|   7.8744e-08|     4.7582|         0.1900|      6.7367|       0.8425|
|GRB080925775|  31.744|    3.167|1.8466e-05|   3.9961e-08|    15.4041|         0.2387|     17.2141|       0.9995|
|GRB080927480|  45.313|    3.083|2.9617e-06|   9.6393e-08|     2.6280|         0.2452|      4.9941|       1.3282|
|GRB080928628|  14.336|    4.007|1.1650e-06|   3.7608e-08|     3.1868|         0.2252|      6.0240|       1.2720|
|GRB081003644|  50.177|    3.692|8.9963e-06|   1.0815e-07|     3.0677|         0.2217|      5.2142|       0.9550|
|GRB081006604|   6.400|    0.923|8.3329e-07|   1.8710e-08|     1.4639|         0.2468|      4.6904|       1.2026|
|GRB081006872|   3.328|    1.305|3.8718e-07|   2.0198e-08|     1.5316|         0.2502|      3.9278|       1.1970|
|GRB081008832| 126.722|    2.360|4.1957e-06|   5.3506e-08|     2.7227|         0.2373|      5.3001|       1.1979|
|GRB081009140|  41.345|    0.264|3.8302e-05|   4.5266e-08|   117.0140|         0.6172|    129.8920|       2.4870|
|GRB081009690|  34.560|    2.064|7.9993e-06|   3.1109e-08|     6.3882|         0.3252|      9.5405|       1.5465|
|GRB081012045|   1.216|    1.748|2.2896e-07|   4.3578e-08|     3.3330|         0.2568|      6.2702|       1.2291|
|GRB081012549|  30.721|    5.615|4.5060e-06|   1.1248e-07|     2.0457|         0.1303|      4.7577|       0.8046|
|GRB081017474|  28.416|    2.757|1.3890e-06|   2.0957e-08|     2.7458|         0.2462|      4.6269|       1.2397|
|GRB081021398|  26.112|    3.974|5.7438e-06|   7.9039e-08|     3.5268|         0.2254|      5.8781|       0.9494|
|GRB081022364|  17.152|    3.727|1.1634e-06|   2.9019e-08|     2.1594|         0.2261|      4.7145|       1.2116|
|GRB081024245|   0.832|    1.282|1.9867e-07|   1.6934e-08|     1.8520|         0.2939|      6.8014|       1.3804|
|GRB081024851|  56.065|    2.064|6.2707e-06|   7.1664e-08|     2.3683|         0.1806|      4.5775|       0.8948|
|GRB081024891|   0.640|    0.264|3.5470e-07|   2.8646e-08|     2.1399|         0.1361|      5.3643|       0.5639|
|GRB081025349|  22.528|    0.724|6.3231e-06|   1.1809e-07|     4.0933|         0.1689|      5.1034|       0.6922|
|GRB081028538|  13.312|    1.280|2.2658e-06|   2.5879e-08|     6.3379|         0.2153|      8.1179|       0.9405|
|GRB081101167|   9.984|    9.051|1.3947e-06|   6.2270e-08|     1.3595|         0.2427|      4.1587|       1.4381|
|GRB081101491|   0.128|    0.091|1.6822e-07|   3.6450e-09|     1.0616|         0.1496|      7.9746|       0.8013|
|GRB081101532|   8.256|    0.889|1.5075e-05|   3.4615e-07|     9.7516|         0.3124|     12.9624|       1.2924|
|GRB081102365|   1.728|    0.231|1.0899e-06|   3.2348e-08|     2.6450|         0.1383|      5.0564|       0.5692|
|GRB081102739|  34.816|    2.415|3.7599e-06|   9.1887e-08|     2.7119|         0.1648|      4.4727|       0.8356|
|GRB081105614|   1.280|    1.368|2.7480e-07|   1.8363e-08|     0.8106|         0.1797|      7.9475|       1.0249|
|GRB081107321|   1.664|    0.234|1.2248e-06|   3.1851e-08|     9.9550|         0.1935|     13.5399|       0.8451|
|GRB081109293|  58.369|    5.221|6.5456e-06|   5.8667e-08|     2.6380|         0.1649|      4.3663|       1.5921|
|GRB081110601|  11.776|    2.573|5.4107e-06|   1.0098e-07|    15.3759|         0.2651|     21.1918|       1.1912|
|GRB081113230|   0.576|    1.350|3.2954e-07|   4.2971e-08|     3.0110|         0.1809|     11.1379|       0.9885|
|GRB081115891|   0.320|    0.653|8.5633e-08|   1.3113e-08|     1.0246|         0.1834|      3.7463|       0.7587|
|GRB081118876|  20.736|    1.379|4.9389e-06|   4.4288e-08|     7.2922|         0.1864|      9.5766|       0.8788|
|GRB081119184|   0.320|    0.680|1.2952e-07|   1.7560e-08|     1.3993|         0.2346|      4.7985|       1.2488|
|GRB081120618|  25.344|    0.923|1.9371e-06|   2.4191e-08|     4.2462|         0.2779|      6.2738|       1.3124|
|GRB081121858|  41.985|    8.510|1.5272e-05|   2.1998e-07|     7.7193|         0.3797|     12.8072|       1.6623|
|GRB081122520|  23.296|    2.111|7.5441e-06|   7.8542e-08|    12.1936|         0.2382|     21.5078|       1.1110|
|GRB081122614|   0.192|    0.091|1.3901e-07|   7.9485e-09|     1.7011|         0.2029|      9.2089|       1.4316|
|GRB081124060|  19.456|    1.086|8.5897e-06|   7.9771e-08|    19.7831|         0.2499|     21.6558|       1.1951|
|GRB081125496|   9.280|    0.607|1.8544e-05|   1.3285e-07|    23.2499|         0.4350|     27.5619|       1.9093|
|GRB081126899|  54.145|    0.923|1.1449e-05|   6.6615e-08|     6.4959|         0.1919|      7.7665|       0.8146|
|GRB081129161|  62.657|    7.318|1.6194e-05|   1.4679e-07|    14.2978|         0.3125|     19.5814|       1.3798|
|GRB081130212|   2.240|    1.002|2.6396e-07|   2.0468e-08|     2.1676|         0.2302|     11.2822|       1.7526|
|GRB081130629|  39.169|    3.620|2.6994e-06|   4.9250e-08|     4.9516|         0.2774|      6.7246|       1.1952|
|GRB081204004|   7.424|    1.846|1.0188e-06|   5.3861e-08|     3.0146|         0.1466|      4.9981|       0.6590|
|GRB081204517|   0.192|    0.286|3.1105e-07|   1.7439e-08|     1.9742|         0.1274|     10.9137|       0.8301|
|GRB081206275|  24.576|    5.724|3.8644e-06|   6.4918e-08|     2.1454|         0.1708|      4.2790|       0.9598|
|GRB081206604|   7.936|    4.382|4.9971e-07|   3.6592e-08|     1.9015|         0.2087|      3.0155|       1.0568|
|GRB081206987|  22.528|    2.919|1.1269e-06|   3.4906e-08|     1.6566|         0.1920|      2.9059|       0.9336|
|GRB081207680|  97.281|    2.347|4.8624e-05|   9.8360e-08|     4.4279|         0.1748|      6.2190|       0.7861|
|GRB081209981|   0.192|    0.143|1.4655e-06|   1.4879e-08|     4.2840|         0.2162|     25.4296|       1.2140|
|GRB081213173|   0.256|    0.286|1.2255e-07|   1.8746e-08|     0.9876|         0.1620|      4.9175|       0.9370|
|GRB081215784|   5.568|    0.143|5.4666e-05|   5.8683e-08|    64.9065|         0.3881|    148.4660|       2.1323|
|GRB081215880|   7.680|    2.064|1.7803e-06|   3.5754e-08|     4.5642|         0.4206|      7.0857|       2.3293|
|GRB081216531|   0.768|    0.429|2.9851e-06|   7.7392e-08|     8.9234|         0.2061|     38.2220|       1.2743|
|GRB081217983|  29.696|   12.892|9.6196e-06|   1.4032e-07|     5.4706|         0.1625|      6.8992|       0.7054|
|GRB081221681|  29.697|    0.410|3.0037e-05|   8.6881e-08|    25.4289|         0.3255|     27.4808|       1.3607|
|GRB081222204|  18.880|    2.318|1.1887e-05|   9.5653e-08|    12.7630|         0.2346|     14.5046|       1.0016|
|GRB081223419|   0.576|    0.143|8.3448e-07|   3.8567e-08|     6.0516|         0.1780|     14.7256|       0.8627|
|GRB081224887|  16.448|    1.159|3.7571e-05|   1.6880e-07|    23.8467|         0.2786|     26.6693|       1.1541|
|GRB081225257|  41.217|    5.667|6.7467e-06|   8.9544e-08|     2.1508|         0.1454|      3.7268|       0.6760|
|GRB081226044|   0.832|    1.032|4.3030e-07|   2.3188e-08|     2.3199|         0.2809|      6.2296|       1.3706|
|GRB081226156|  83.713|    2.769|4.7486e-06|   4.2461e-08|     4.1569|         0.2665|      6.3010|       1.1436|
|GRB081226509|   0.192|    0.143|3.4448e-07|   2.7133e-08|     1.6865|         0.1256|      8.5300|       0.7772|
|GRB081229187|   0.768|    0.724|1.0595e-06|   7.6578e-08|     1.8820|         0.1215|      5.0049|       0.5986|
|GRB081229675|   0.032|    0.045|8.6533e-08|   2.7318e-08|     0.9576|         0.2727|      9.4487|       1.4957|
|GRB081230871|   0.512|    0.272|1.8087e-07|   1.6004e-08|     1.2652|         0.1455|      3.8423|       0.6189|
|GRB081231140|  28.736|    2.611|1.6119e-05|   1.1725e-07|    11.2137|         0.2289|     17.4440|       1.0547|
|GRB090101758| 108.802|    1.619|1.2288e-05|   1.1393e-07|    11.6615|         0.2823|     14.1027|       1.2410|
|GRB090102122|  26.624|    0.810|2.7909e-05|   6.1005e-08|    11.1669|         0.2099|     19.9739|       0.9669|
|GRB090107681|  18.432|    2.896|2.8993e-06|   1.0218e-07|     3.1283|         0.3179|      6.8387|       1.6261|
|GRB090108020|   0.704|    0.143|7.4732e-07|   1.6643e-08|     7.9059|         0.2514|     25.4336|       1.3557|
|GRB090108322|   0.192|    0.143|5.3623e-07|   1.4059e-08|     1.9693|         0.1951|     10.3322|       1.0263|
|GRB090109332|   1.728|    0.820|2.0949e-07|   2.3057e-08|     1.8304|         0.2211|      4.3364|       1.1725|
|GRB090112332|  58.369|    4.783|3.9190e-06|   6.8364e-08|     6.0285|         0.3008|      7.4965|       1.5242|
|GRB090112729|  14.080|    5.126|9.2301e-06|   1.0780e-07|    13.2571|         0.3005|     18.1190|       1.3228|
|GRB090113778|  17.408|    3.238|1.5738e-06|   4.8300e-08|     3.7680|         0.1603|      6.1162|       0.7141|
|GRB090117335|  27.264|    1.286|1.1040e-06|   3.5035e-08|     3.6740|         0.2730|      5.3805|       1.3962|
|GRB090117632|  86.017|    2.862|9.0634e-06|   4.3949e-08|     3.8085|         0.2872|      6.6668|       1.3924|
|GRB090117640|  15.552|    4.580|2.5311e-06|   4.6993e-08|    10.2220|         0.2142|     16.8305|       0.9455|
|GRB090120627|   1.856|    0.181|7.6823e-07|   2.0788e-08|     1.8395|         0.1486|      4.6599|       0.7662|
|GRB090126227|   5.632|    0.810|1.0991e-06|   2.0232e-08|     4.0164|         0.1807|      5.5191|       0.7790|
|GRB090126245|   0.960|    0.231|3.5767e-07|   1.9341e-08|     1.3665|         0.1078|      3.5936|       0.4846|
|GRB090129880|  16.640|    3.328|5.5712e-06|   6.2011e-08|     6.6032|         0.2178|      9.7769|       1.0076|
|GRB090131090|  35.073|    1.056|1.7523e-05|   6.5675e-08|    40.3066|         0.4193|     59.4114|       1.9460|
|GRB090202347|  12.608|    0.345|4.9459e-06|   3.0995e-08|     5.7544|         0.2090|      7.2771|       0.8442|
|GRB090206620|   0.320|    0.143|7.1522e-07|   1.2181e-08|     2.5496|         0.2083|     12.6969|       1.0740|
|GRB090207777|  24.832|    3.899|2.4073e-06|   4.1724e-08|     2.7895|         0.2248|      3.6731|       1.0550|
|GRB090213236|  20.224|    6.192|1.0974e-06|   5.8237e-08|     1.2605|         0.2183|      3.6701|       1.4040|
|GRB090217206|  33.281|    0.724|2.7523e-05|   3.1934e-08|     9.7387|         0.2471|     13.0593|       1.0504|
|GRB090219074|   0.448|    0.272|2.1203e-07|   5.4204e-08|     3.1786|         0.5959|     11.6570|       3.0940|
|GRB090222179|  17.408|    3.238|3.2261e-06|   5.3845e-08|     3.0121|         0.1680|      4.9323|       0.8507|
|GRB090225009|   2.176|    2.833|1.5352e-07|   1.5160e-08|     1.4416|         0.2791|      4.6407|       1.5253|
|GRB090227310|  16.189|    0.831|2.8560e-06|   2.0791e-08|     3.9369|         0.2673|      6.6692|       1.2104|
|GRB090227772|   0.304|    0.023|1.1095e-05|   1.1791e-08|    16.9104|         0.3302|    111.9210|       2.8256|
|GRB090228204|   0.448|    0.143|6.1936e-06|   2.6491e-08|    16.8919|         0.3203|    134.0090|       2.7437|
|GRB090228976|   7.936|    1.379|9.6376e-07|   6.5781e-08|     2.2767|         0.2377|      3.9430|       1.2109|
|GRB090301315|  23.296|    2.064|2.2682e-06|   3.7772e-08|     3.7194|         0.1763|      5.0076|       0.8102|
|GRB090304216|   2.816|    0.923|8.9864e-07|   1.0197e-07|     1.9128|         0.1575|      3.4044|       0.5238|
|GRB090305052|   1.856|    0.580|1.9401e-06|   1.3313e-08|     5.2001|         0.1481|      9.0515|       0.5764|
|GRB090306245|  27.904|   14.857|1.3706e-06|   3.7041e-08|     1.7201|         0.2178|      3.5895|       0.9796|
|GRB090307167|  29.440|    1.810|1.0944e-06|   3.6903e-08|     1.4106|         0.2422|      3.9687|       1.3599|
|GRB090308734|   1.664|    0.286|2.5458e-06|   2.8880e-08|     6.5627|         0.1715|     12.3319|       0.7141|
|GRB090309767|  56.513|    5.146|4.4239e-06|   6.8751e-08|     3.4569|         0.2051|      5.1907|       1.8104|
|GRB090310189| 116.930|    1.056|5.5426e-06|   6.2044e-08|     3.4339|         0.1979|      5.2694|       0.9444|
|GRB090316311|  10.240|    1.557|1.0640e-06|   2.2081e-08|     3.7878|         0.3124|     10.3181|       1.2779|
|GRB090319622|  54.785|    2.202|6.0324e-06|   6.4997e-08|     3.5716|         0.2806|      5.8068|       1.3701|
|GRB090320045|   2.368|    0.272|4.4470e-07|   2.3126e-08|     1.4152|         0.1264|      2.8029|       0.6538|
|GRB090320418|   7.936|    1.296|1.0047e-06|   3.8549e-08|     1.6018|         0.1427|      4.1679|       0.7973|
|GRB090320801|  29.184|    4.536|1.6705e-06|   6.1584e-08|     4.3553|         0.2472|      6.0955|       1.3861|
|GRB090323002| 133.890|    0.572|1.0833e-04|   4.1606e-08|    13.3996|         0.3006|     16.3497|       1.2322|
|GRB090326633|  16.128|    3.208|1.6953e-06|   6.3697e-08|     4.9020|         0.2228|      7.1469|       1.0251|
|GRB090327404|  14.080|    1.379|2.8155e-06|   6.0572e-08|     3.0379|         0.1784|      4.6384|       0.7863|
|GRB090328401|  61.697|    1.810|4.2022e-05|   6.5336e-08|    17.2311|         0.3264|     25.3516|       1.4978|
|GRB090328713|   0.192|    1.032|1.1901e-07|   1.8397e-08|     1.9731|         0.2150|     17.3474|       1.4505|
|GRB090330279|  75.265|    1.379|1.3734e-05|   4.8934e-08|     5.9296|         0.2500|      7.6290|       1.1050|
|GRB090331681|   0.832|    0.143|3.4457e-07|   3.4560e-08|     1.9712|         0.1578|      7.1947|       0.8156|
|GRB090403314|  14.848|    1.846|1.0923e-06|   1.9341e-08|     1.8152|         0.2069|      3.0241|       1.0752|
|GRB090405663|   0.448|    1.498|2.5351e-07|   3.1039e-08|     1.1647|         0.1836|      6.7260|       1.0768|
|GRB090409288|  30.337|    2.796|1.1298e-06|   5.9385e-08|     1.5968|         0.1444|      3.6854|       0.7936|
|GRB090411838|  21.501|    3.237|6.6659e-06|   1.0262e-07|     5.2396|         0.2323|      8.7742|       1.0628|
|GRB090411991|  14.336|    1.086|6.2129e-06|   8.8460e-08|     4.7205|         0.2462|      7.9629|       1.1057|
|GRB090412061|   0.896|    0.264|1.2463e-07|   1.3569e-08|     0.8667|         0.1962|      4.1236|       1.1989|
|GRB090413122|  32.513|    4.360|3.2266e-06|   4.9155e-08|     3.0377|         0.1663|      4.4214|       0.6364|
|GRB090418816|   0.320|    0.405|1.8202e-07|   3.2589e-08|     1.6760|         0.2433|      5.8758|       1.2731|
|GRB090419997| 184.323|    3.806|1.3305e-05|   5.3034e-08|     4.5854|         0.2934|      6.5615|       1.3330|
|GRB090422150|   9.216|    0.362|4.5870e-07|   3.4354e-08|     2.3694|         0.2386|      4.9371|       1.3097|
|GRB090423330|   7.168|    2.415|8.1640e-07|   7.1500e-08|     1.6183|         0.2123|      4.2363|       1.2238|
|GRB090424592|  14.144|    0.264|4.6323e-05|   3.8592e-08|   109.5110|         0.4903|    126.6710|       2.0411|
|GRB090425377|  75.393|    2.450|1.8134e-05|   1.5163e-07|    13.8838|         0.4238|     18.6322|       1.6506|
|GRB090426066|  16.128|    5.152|6.7693e-07|   4.3660e-08|     2.0280|         0.1819|      3.2053|       0.8617|
|GRB090426690|   7.488|    2.496|3.5378e-06|   8.8242e-08|     6.3149|         0.1944|      9.1560|       0.8553|
|GRB090427644|   1.024|    0.362|2.6529e-07|   2.2210e-08|     1.7086|         0.1460|      2.9725|       0.8248|
|GRB090427688|  12.288|    1.280|1.6151e-06|   3.1825e-08|     2.5486|         0.2360|      5.0337|       1.0919|
|GRB090428441|   3.968|    1.506|1.0400e-06|   6.2717e-08|     6.2868|         0.2473|      9.2086|       1.0496|
|GRB090428552|  31.488|   11.846|5.6027e-06|   1.2415e-07|     7.6133|         0.2400|      9.8693|       1.1576|
|GRB090429530|  14.336|    4.007|4.3627e-06|   1.3841e-07|     3.2805|         0.2243|      6.4436|       1.0665|
|GRB090429753|   0.640|    0.466|1.1183e-06|   4.3313e-08|     3.8994|         0.1542|      8.6176|       0.8257|
|GRB090502777|  66.048|    1.619|3.5024e-06|   2.8513e-08|     5.2761|         0.3313|      8.7928|       1.5777|
|GRB090509215| 282.372|    3.167|3.5842e-06|   4.2737e-08|     2.5824|         0.2452|      4.1476|       1.1460|
|GRB090510016|   0.960|    0.138|3.3732e-06|   4.0576e-08|     9.1038|         0.2443|     40.9509|       1.5804|
|GRB090510325|   7.424|    1.717|5.6035e-07|   2.7527e-08|     1.8068|         0.2469|      3.1355|       1.2149|
|GRB090511684|   7.616|    1.605|2.4936e-06|   8.4677e-08|     3.4632|         0.1850|      5.5577|       0.7957|
|GRB090513916|  25.280|    7.146|4.9405e-06|   1.7733e-07|     2.1225|         0.1655|      4.8736|       1.0336|
|GRB090513941|  11.776|    2.064|1.0415e-06|   3.0052e-08|     2.4047|         0.3645|      5.2052|       1.8571|
|GRB090514006|  43.521|    1.739|6.4562e-06|   1.0730e-07|     6.0062|         0.2013|      7.8038|       0.8036|
|GRB090514726|   2.240|    0.286|2.2452e-06|   3.1326e-08|     7.9767|         0.2634|     13.4603|       1.1180|
|GRB090514734|  54.401|    4.077|9.5504e-06|   2.1035e-07|     4.5649|         0.2217|      6.8845|       1.1511|
|GRB090516137| 110.594|    4.199|1.6153e-05|   1.4397e-07|     3.2807|         0.2258|      4.8892|       1.0915|
|GRB090516353| 123.138|    2.064|1.6267e-05|   7.9118e-08|     4.6367|         0.3306|      7.7583|       1.5087|
|GRB090516853|  14.464|    3.093|5.0024e-06|   9.5920e-08|     7.9754|         0.2385|     10.0244|       1.0663|
|GRB090518080|   2.048|    0.410|9.9100e-07|   2.6667e-08|     4.7546|         0.3064|      9.7452|       5.0456|
|GRB090518244|   6.784|    1.000|2.1052e-06|   6.8263e-08|     4.9578|         0.2225|      7.0966|       1.0216|
|GRB090519462|  91.329|    3.692|4.3751e-06|   5.1287e-08|     2.5671|         0.1801|      6.5306|       1.0979|
|GRB090519881|  74.177|    5.177|5.7264e-06|   6.1164e-08|     1.4948|         0.1594|      3.4458|       0.9647|
|GRB090520832|   0.768|    0.834|2.3170e-07|   2.5161e-08|     2.0302|         0.1896|      5.7562|       1.0069|
|GRB090520850|   3.776|    0.923|3.3206e-06|   1.0421e-07|     5.2281|         0.2054|      9.5253|       1.0563|
|GRB090520876|  30.657|    0.859|6.1823e-06|   3.8761e-08|     8.7960|         0.2318|     10.8018|       1.0609|
|GRB090522344|  20.288|    6.262|2.1250e-06|   4.9443e-08|     3.4836|         0.2043|      6.0597|       0.8054|
|GRB090524346|  54.337|    0.870|1.6588e-05|   6.0659e-08|    12.9725|         0.2182|     14.4961|       0.9287|
|GRB090528173|  35.905|    2.187|6.5647e-06|   1.1440e-07|     4.7478|         0.1954|      7.6677|       0.8895|
