|name        |t90     |t90_error|fluence   |fluence_error|flux_1024  |flux_1024_error|flux_64     |flux_64_error|
|GRB111221739|  27.136|    7.186|3.0585e-06|   5.7239e-08|    10.0702|         0.3761|     24.5512|       1.8961|
|GRB111222619|   0.288|    0.036|4.4186e-06|   1.9059e-08|    14.1870|         0.4999|     62.3025|       3.5360|
|GRB111226795|  74.753|    8.749|1.1451e-05|   1.3911e-07|     3.3651|         0.2147|      4.9836|       1.0966|
|GRB111228453|   2.944|    0.979|2.7472e-06|   4.2716e-08|    20.9830|         0.4417|     23.7985|       1.9506|
|GRB111228657|  99.842|    2.111|1.8138e-05|   5.7948e-08|    20.8123|         0.4236|     27.5793|       1.7357|
|GRB111230683|  28.160|    1.557|2.8960e-06|   5.0069e-08|     5.4934|         0.4114|      8.6172|       2.1144|
|GRB111230819|  12.736|    1.145|3.5117e-06|   3.9502e-08|     5.4425|         0.2675|      8.8330|       1.3032|
|GRB111231622|   8.256|    4.136|9.3254e-07|   9.5270e-08|     2.9679|         0.5966|      9.0534|       3.9171|
|GRB120101354|   0.128|    0.072|1.0925e-07|   1.3869e-08|     1.0066|         0.1692|      7.4363|       0.9739|
|GRB120102095|  28.416|    8.204|1.3408e-05|   4.3911e-08|    19.0381|         0.3907|     22.8232|       1.5700|
|GRB120102416|  20.224|    2.769|2.5531e-06|   5.7428e-08|     4.3405|         0.2903|      5.5859|       1.1810|
|GRB120105584|  22.528|    2.202|1.4675e-06|   3.5385e-08|     2.5999|         0.2538|      4.5683|       1.2367|
|GRB120107384|  23.040|    0.143|6.5320e-06|   4.4356e-08|     5.5002|         0.2378|      8.5340|       1.1030|
|GRB120109824|  38.656|    3.114|1.9189e-06|   4.1747e-08|     2.5486|         0.3897|      6.5064|       1.9597|
|GRB120111051|  76.801|    5.514|3.9676e-06|   5.6254e-08|     2.0021|         0.2084|      4.1871|       0.9569|
|GRB120114433|   2.752|    1.569|1.4875e-07|   2.6392e-08|     1.1021|         0.1880|      3.7753|       1.0600|
|GRB120114681|  43.264|    5.804|2.3862e-06|   4.1988e-08|     2.4457|         0.2863|      5.8674|       1.7276|
|GRB120117291|   3.328|    1.600|1.2137e-07|   1.6438e-08|     1.2047|         0.2213|      3.5733|       1.0491|
|GRB120118709|  37.825|   12.586|2.6631e-06|   4.6680e-08|     2.8336|         0.2334|      5.2111|       1.1991|
|GRB120118898|  17.152|    2.111|1.6159e-06|   3.3932e-08|     8.9971|         0.2852|     13.4242|       1.3066|
|GRB120119170|  55.297|    6.229|3.8673e-05|   1.3587e-07|    16.8584|         0.3905|     22.3688|       1.7065|
|GRB120119229|  41.728|    1.557|5.9423e-06|   3.5344e-08|     4.3373|         0.2151|      5.3590|       0.9528|
|GRB120119354|  16.896|    3.278|2.7930e-06|   7.8377e-08|     4.2171|         0.2630|      6.4164|       1.0885|
|GRB120120432|  32.256|    6.481|1.5030e-06|   3.3513e-08|     1.4119|         0.2103|      3.4125|       1.0864|
|GRB120121101|  18.432|    3.727|1.9545e-06|   3.0232e-08|     2.6635|         0.2093|      4.2125|       0.9149|
|GRB120121251|  37.121|   11.876|1.1544e-05|   6.6510e-08|     7.1008|         0.2910|      9.0554|       1.5459|
|GRB120122300|  16.701|    1.881|2.5999e-06|   4.8448e-08|     3.0468|         0.2428|      5.0129|       1.2731|
|GRB120129312|   1.280|    0.689|8.9315e-08|   1.2526e-08|     0.9610|         0.2127|      3.3233|       1.0171|
|GRB120129580|   3.072|    0.362|5.4486e-05|   7.1163e-08|   158.6260|         1.0370|    212.2630|       4.6701|
|GRB120130699|  27.776|    0.694|6.6122e-06|   1.4081e-07|     8.1559|         0.4119|     12.2924|       1.8943|
|GRB120130906|   3.584|    1.379|5.2480e-07|   3.0758e-08|     2.2879|         0.2214|      3.8435|       0.9014|
|GRB120130938|  38.913|    7.455|1.0413e-05|   1.6258e-07|     6.1934|         0.3486|      8.9575|       1.5523|
|GRB120203812|  10.240|    2.429|1.1004e-06|   2.8915e-08|     3.5121|         0.3453|      5.9847|       1.9234|
|GRB120204054|  49.089|    0.429|9.6000e-05|   8.7126e-08|    33.5706|         0.4247|     36.5420|       1.7554|
|GRB120205285|   0.576|    0.272|1.1092e-07|   9.8579e-09|     1.0792|         0.1464|      2.2835|       0.6170|
|GRB120206949|   9.472|    3.338|5.8759e-06|   6.3131e-08|    17.1490|         0.4259|     21.9321|       1.8572|
|GRB120210650|   1.344|    0.264|6.4450e-07|   1.5088e-08|     7.0448|         0.2050|     11.0655|       1.2638|
|GRB120212353|   0.864|    0.577|5.0869e-08|   1.2231e-08|     1.2230|         0.1906|      5.3143|       1.1531|
|GRB120212383|   9.216|    0.724|1.1489e-06|   2.5897e-08|     3.2939|         0.2182|      4.8617|       1.0790|
|GRB120213606|  13.824|    3.328|2.6780e-06|   5.4574e-08|     6.6114|         0.2621|      9.3791|       1.0729|
|GRB120217808|   5.888|    2.862|1.7463e-06|   7.7573e-08|     8.9396|         0.4266|     12.1109|       1.9265|
|GRB120217904|   2.624|    0.300|4.8575e-06|   4.0532e-08|    24.3886|         0.4303|     45.6468|       2.1136|
|GRB120218276| 256.260|    5.221|1.1394e-05|   8.0140e-08|     2.5218|         0.2552|      4.5915|       1.3705|
|GRB120219563|   8.128|    0.429|5.5777e-07|   1.4019e-08|     1.5670|         0.2007|      2.5955|       0.8304|
|GRB120220210|  21.248|    1.639|1.2373e-06|   2.4764e-08|     1.6993|         0.2186|      3.5094|       1.0578|
|GRB120222021|   1.088|    0.143|1.7278e-06|   2.3582e-08|    15.9209|         0.3910|     24.0154|       1.7080|
|GRB120222119|  29.440|    5.382|2.4509e-06|   6.2101e-08|     2.1008|         0.2431|      5.0039|       1.1123|
|GRB120223933|  14.336|    2.360|3.8791e-06|   8.7982e-08|     3.9193|         0.2290|      6.4162|       1.1733|
|GRB120224282|  60.929|    3.093|9.1226e-06|   2.0494e-07|     5.1697|         0.2759|      7.2719|       1.3117|
|GRB120224898|  29.184|    4.222|2.5990e-06|   5.6255e-08|     2.5519|         0.2105|      4.3395|       1.1188|
|GRB120226447|  14.592|    3.916|5.8476e-06|   7.8484e-08|     7.0728|         0.4909|     16.8817|       3.1047|
|GRB120226871|  52.993|    0.572|5.2036e-05|   9.1383e-08|    11.4317|         0.3270|     14.7320|       1.4296|
|GRB120227391|  19.712|    1.717|3.7420e-06|   8.3346e-08|     3.7700|         0.4094|      7.9604|       1.9857|
|GRB120227725|  17.408|    0.810|2.1949e-05|   1.0403e-07|    18.4653|         0.9121|     29.1086|       5.0468|
|GRB120302080|  80.384|   16.927|2.5347e-06|   5.5075e-08|     2.2934|         0.2931|      4.8130|       1.5134|
|GRB120302722|   1.600|    0.779|1.1869e-07|   1.6236e-08|     1.9604|         0.2781|      6.1993|       1.4902|
|GRB120304061|   9.984|    1.055|5.0461e-06|   1.9898e-08|    18.8124|         0.2921|     21.1866|       1.5393|
|GRB120304248|   5.376|    0.572|1.1435e-05|   4.0725e-08|    10.3339|         0.3660|     23.3532|       1.9690|
|GRB120308588|  25.600|    1.557|6.7214e-06|   6.2736e-08|    15.9056|         0.5004|     19.9105|       2.3880|
|GRB120312671|  13.312|    3.167|8.2941e-07|   2.7177e-08|     1.9740|         0.2362|      4.0841|       1.0976|
|GRB120314412|   1.280|    1.086|1.6419e-07|   3.1375e-08|     1.7685|         0.1789|      3.2911|       0.9163|
|GRB120316008|  26.624|    0.362|1.6257e-05|   3.0770e-08|     6.8273|         0.2954|     12.2186|       1.3083|
|GRB120319983|  72.448|    7.832|2.4204e-06|   3.9618e-08|     1.8586|         0.1948|      3.5728|       1.0527|
|GRB120323162|   4.352|    0.724|1.4084e-06|   1.9992e-08|     5.3743|         0.2673|      8.5373|       1.1614|
|GRB120323507|   0.384|    0.036|1.0406e-05|   3.1659e-08|   146.2280|         0.8836|    603.1930|       8.2158|
|GRB120326056|  11.776|    1.810|3.2583e-06|   4.8406e-08|     7.7439|         0.2794|     10.4906|       1.2552|
|GRB120327418|   0.256|    1.319|1.1407e-07|   3.6463e-08|     1.7120|         0.2917|      7.9422|       1.7572|
|GRB120328268|  29.697|    1.056|7.5046e-05|   1.6605e-07|    33.5795|         0.3975|     37.9971|       1.6818|
|GRB120331055|  16.384|   10.367|6.7744e-07|   5.2000e-08|     4.1971|         0.4164|     40.8261|       3.5386|
|GRB120402669|  20.224|    0.810|3.7475e-06|   2.6093e-08|    16.8200|         0.4743|     20.2141|       2.1284|
|GRB120403857|   4.288|    1.935|2.3964e-07|   2.0458e-08|     1.7469|         0.2388|      2.6136|       1.0348|
|GRB120410585|   1.088|    1.180|2.9072e-07|   2.1109e-08|     1.4594|         0.1813|      8.7611|       1.0655|
|GRB120411925|  38.912|    1.493|1.4643e-06|   2.7543e-08|     1.7412|         0.2155|      4.2385|       1.1252|
|GRB120412055|   9.728|    3.566|1.2463e-06|   8.5753e-08|     2.2253|         0.2072|      3.9044|       1.0677|
|GRB120412920| 101.182|    4.871|7.0289e-06|   5.2670e-08|     7.6977|         0.3302|      9.5216|       1.4166|
|GRB120415076|  12.544|    4.128|2.2296e-06|   5.6946e-08|     4.4722|         0.2575|      5.4775|       0.9981|
|GRB120415891|   0.960|    0.264|1.3047e-07|   9.0268e-09|     1.9926|         0.1779|      4.5670|       1.1136|
|GRB120415958|  12.544|    1.717|2.3142e-06|   5.4739e-08|     5.9699|         0.4986|      9.7386|       2.3392|
|GRB120420249|  25.600|    4.419|2.8780e-06|   5.9863e-08|     4.5454|         0.2874|      6.5289|       1.3549|
|GRB120420858| 254.913|    4.222|4.3252e-05|   2.1421e-07|     4.8088|         0.3279|      6.8320|       1.4171|
|GRB120426090|   2.688|    0.091|2.1049e-05|   2.2645e-08|    82.3035|         0.8009|     93.5051|       3.3946|
|GRB120426585|  30.973|    3.620|3.6585e-06|   4.1717e-08|     2.3495|         0.1982|      5.3591|       1.2145|
|GRB120427054|   5.376|    0.572|7.4299e-06|   3.8935e-08|    14.8496|         0.3733|     18.7143|       1.6791|
|GRB120427153|  22.784|    1.999|6.8051e-07|   3.7361e-08|     1.7148|         0.2177|      3.0729|       1.0585|
|GRB120429003|   1.664|    0.968|2.7937e-07|   2.3649e-08|     3.1049|         0.2431|      5.1793|       1.1055|
|GRB120429484|  15.360|    1.619|2.3678e-06|   1.7472e-08|     3.0593|         0.2174|      4.9388|       0.9872|
|GRB120430980|  14.592|    2.172|5.5572e-07|   2.0683e-08|     1.6593|         0.2253|      3.0090|       1.0693|
|GRB120504468|  41.985|    2.673|3.3628e-06|   2.6299e-08|     2.4442|         0.2208|      5.3743|       1.1222|
|GRB120504945|   5.760|    0.779|1.6674e-06|   2.7126e-08|     2.4326|         0.2383|      4.9837|       1.3289|
|GRB120506128|   2.304|    1.379|2.8721e-07|   2.5126e-08|     2.4154|         0.2215|      4.0336|       1.0724|
|GRB120509619|   0.704|    1.404|1.5538e-07|   1.3498e-08|     1.5087|         0.1905|      3.5883|       0.8519|
|GRB120510900|  62.465|    3.908|6.0145e-06|   7.6321e-08|     2.8185|         0.3099|      5.4584|       1.8157|
|GRB120511638|  45.249|    2.940|1.1400e-05|   9.5141e-08|     4.6831|         0.4199|      9.9199|       2.6647|
|GRB120512112|  18.176|    1.350|1.2404e-05|   7.1173e-08|     6.9343|         0.2402|      8.7416|       1.1067|
|GRB120513531|  23.808|    0.923|1.3076e-06|   3.7823e-08|     1.9663|         0.2017|      3.8796|       1.0105|
|GRB120519721|   1.056|    0.451|9.5949e-07|   1.6695e-08|     6.4865|         0.2645|     12.7132|       1.3959|
|GRB120520949|   5.760|    1.356|4.4091e-07|   1.4104e-08|     1.0600|         0.0869|      1.6963|       0.3503|
|GRB120521380|  91.134|    4.222|3.1063e-06|   7.2318e-08|     1.5451|         0.2338|      4.8705|       1.6814|
|GRB120522361|  28.160|    8.039|9.3244e-06|   5.0849e-08|    15.2289|         0.5183|     17.0215|       2.1589|
|GRB120524134|   0.704|    0.466|2.5274e-07|   1.5086e-08|     4.5154|         0.3508|     17.6580|       2.0193|
|GRB120526303|  43.649|    1.002|1.1619e-04|   2.2796e-07|    15.6896|         1.1041|     23.7872|       5.7960|
|GRB120528442|  16.384|    5.177|3.7919e-06|   4.5669e-08|     5.5495|         0.2660|      7.4135|       1.3550|
|GRB120530121|  77.054|    1.810|7.1731e-06|   5.0148e-08|     5.0941|         0.3060|      7.1103|       1.5341|
|GRB120531393|  25.344|    7.186|9.0995e-07|   1.7898e-08|     1.8567|         0.2147|      3.4413|       1.0982|
|GRB120603439|   0.384|    0.345|6.7886e-07|   2.6900e-08|     3.2336|         0.2500|     13.7043|       1.2632|
|GRB120604220|  10.496|    5.615|1.2347e-06|   5.1016e-08|     3.5190|         0.2474|      6.7246|       1.2288|
|GRB120604343|  12.032|    3.278|1.5097e-06|   7.2318e-08|     2.3981|         0.1912|      4.1124|       1.4044|
|GRB120605453|  18.112|    1.086|3.2531e-06|   5.4174e-08|     9.6451|         0.3829|     12.1365|       1.6801|
|GRB120608489|   0.960|    1.611|4.8345e-07|   2.1445e-08|     3.2615|         0.2515|      6.8154|       1.2662|
|GRB120608777|  24.832|    3.840|3.1743e-06|   4.3021e-08|     3.6648|         0.2124|      4.9907|       1.4557|
|GRB120609580|   1.792|    0.810|4.1964e-07|   2.5291e-08|     3.6788|         0.2449|      5.0538|       1.1071|
|GRB120611108|  49.921|    1.639|4.5256e-06|   4.8502e-08|     4.5338|         0.2406|      8.0975|       1.2522|
|GRB120612680|  63.232|    7.886|2.0615e-06|   2.7170e-08|     2.2589|         0.2565|      5.4703|       1.4010|
|GRB120612687|   0.256|    0.453|7.0505e-07|   2.2190e-08|     2.5755|         0.2298|     11.0439|       1.2270|
|GRB120616630|   0.048|    0.484|2.5760e-07|   1.1567e-08|     0.7681|         0.2253|      7.2297|       1.0567|
|GRB120618128|  17.600|    1.820|5.5799e-06|   6.8414e-08|     4.6737|         0.3958|      6.1382|       1.0623|
|GRB120618919|  47.616|   12.299|3.6287e-06|   5.6892e-08|     4.4538|         0.3860|      8.6713|       1.9399|
|GRB120619884|   0.960|    0.960|4.2425e-07|   3.0169e-08|     1.7991|         0.1774|      4.1544|       0.9911|
|GRB120624309|   0.640|    0.160|5.1400e-06|   7.6071e-08|    19.4007|         0.3782|     76.8390|       2.1699|
|GRB120624933| 271.364|    4.580|1.9164e-04|   1.9778e-07|    17.6701|         0.3037|     21.2497|       1.2589|
|GRB120625119|   7.424|    0.571|1.0216e-05|   4.2459e-08|    18.3744|         0.4559|     22.0726|       1.9366|
|GRB120629565|   0.704|    1.026|5.1917e-08|   1.2052e-08|     0.9772|         0.1671|      3.3907|       0.8674|
|GRB120701654|   1.024|    1.451|8.3569e-08|   6.2951e-08|     1.7597|         0.4518|      6.6793|       2.1329|
|GRB120702891|  35.073|    4.924|1.5981e-06|   5.8149e-08|     1.6841|         0.2127|      3.1568|       1.0988|
|GRB120703417|  64.513|    3.083|1.1076e-05|   5.1941e-08|     7.6384|         0.3168|     10.0646|       1.3597|
|GRB120703498|  77.568|    2.187|2.5968e-06|   5.3469e-08|     2.5354|         0.2673|      4.8040|       1.3723|
|GRB120703726|   8.960|    1.379|8.3292e-06|   9.8273e-08|    17.1811|         0.3004|     19.7504|       1.1902|
|GRB120707800|  40.960|    4.238|9.3550e-05|   7.0713e-07|    60.3315|         1.5943|     76.6998|       7.1280|
|GRB120709883|  27.328|    0.958|1.3729e-05|   3.7510e-08|    11.0527|         0.2915|     18.3527|       1.4149|
|GRB120710100| 131.840|    1.056|5.3384e-06|   2.1200e-08|     3.8050|         0.2458|      6.5568|       1.3514|
|GRB120711115|  44.033|    0.724|1.9428e-04|   2.2751e-07|    26.7215|         0.5824|     44.6668|       2.8114|
|GRB120711446|  87.552|    3.874|1.8621e-06|   2.0411e-08|     1.2776|         0.1734|      3.8255|       1.1774|
|GRB120712571|  22.528|    5.431|4.4305e-06|   4.5111e-08|     3.4921|         0.2190|      5.5084|       1.1105|
|GRB120713226|  13.824|    3.435|1.1304e-06|   1.0662e-07|     2.3902|         0.2522|      4.3946|       1.2770|
|GRB120715066|  29.696|    3.083|2.1952e-06|   3.6310e-08|     2.6063|         0.2230|      4.9068|       1.1401|
|GRB120716577|  24.960|    3.958|5.2229e-06|   1.2542e-07|     3.4502|         0.3171|      6.0004|       1.9080|
|GRB120716712| 226.048|    1.056|1.2651e-05|   3.2161e-08|     8.9143|         0.3186|     15.7503|       1.5156|
|GRB120719146|  75.009|    3.114|1.3548e-05|   8.3501e-08|     5.7972|         0.3285|      8.2263|       1.4813|
|GRB120727354|   0.896|    1.280|1.0912e-07|   2.1610e-08|     1.1382|         0.2023|      3.0381|       0.8692|
|GRB120727681|  10.496|    1.639|9.2348e-06|   7.3817e-08|    15.7445|         0.3808|     18.2696|       1.6578|
|GRB120728434| 100.481|    6.623|1.1632e-04|   2.5411e-06|    40.8664|         0.5818|     46.7475|       2.5115|
|GRB120728934|  32.768|    2.429|3.7430e-06|   4.5984e-08|     3.5827|         0.2757|      5.8754|       1.5115|
|GRB120729456|  25.472|    2.612|5.0787e-06|   5.2985e-08|     5.2038|         0.3028|      6.6066|       1.2794|
|GRB120801920| 479.239|   23.752|3.3402e-05|   2.6343e-07|    15.9591|         2.5783|     34.7161|      30.7149|
|GRB120805706|   1.856|    1.296|1.8790e-07|   1.9566e-08|     2.0363|         0.2280|      2.7208|       1.0323|
|GRB120806007|  26.624|    1.557|4.9018e-06|   3.6937e-08|     7.7159|         0.2981|      9.5188|       1.2601|
|GRB120811014|   0.448|    0.091|2.2744e-06|   1.9404e-08|     4.6401|         0.2390|     20.9913|       1.3074|
|GRB120811649|  14.336|    6.557|3.4466e-06|   2.1134e-07|     7.6993|         0.4515|     13.6694|       2.8185|
|GRB120814201|   0.896|    1.032|3.8312e-07|   3.9446e-08|     5.1525|         0.4904|     10.7365|       2.6377|
|GRB120814803|   0.192|    0.272|1.2844e-07|   3.4753e-08|     0.6136|         0.1377|      3.8940|       0.8191|
|GRB120817057|  36.864|    4.672|1.0398e-06|   2.9563e-08|     1.1960|         0.2290|      4.0471|       1.1681|
|GRB120817168|   0.160|    0.113|1.7866e-06|   1.0167e-08|     5.8034|         0.2510|     47.0313|       2.0809|
|GRB120819048|  66.304|    1.379|1.3343e-06|   3.2672e-08|     2.6081|         0.2186|      4.8304|       1.0784|
|GRB120820585| 107.522|    9.159|6.9808e-06|   2.9282e-08|     4.3570|         0.6442|     11.9885|       9.8806|
|GRB120822628|   1.536|    0.842|1.0853e-07|   1.6999e-08|     1.2881|         0.1883|      3.3556|       0.9221|
|GRB120824594| 111.618|    7.241|5.9192e-06|   4.1643e-08|     1.6913|         0.2077|      3.6283|       1.2824|
|GRB120827216|   5.056|    2.127|3.3669e-06|   9.1226e-08|     5.0145|         0.3404|      8.1073|       1.8494|
|GRB120830212|  16.064|    3.649|7.5151e-06|   2.3629e-07|     8.6556|         0.4512|     14.8420|       2.0220|
|GRB120830297|   0.896|    0.231|3.0693e-06|   2.7188e-08|     7.1858|         0.2399|     10.4984|       0.9332|
|GRB120830702|  49.665|    4.382|5.6550e-06|   3.3365e-08|     4.3573|         0.2280|      6.5701|       1.1644|
|GRB120831901|   0.384|    0.547|2.5147e-07|   2.9489e-08|     1.9271|         0.2469|      9.9497|       1.3481|
|GRB120905657| 195.587|   16.795|1.9567e-05|   6.3164e-07|     3.5534|         0.2281|      5.0902|       1.0317|
|GRB120907017|   5.760|    1.778|8.0914e-07|   4.0838e-08|     4.2789|         0.3576|      7.5551|       1.9452|
|GRB120908873|  46.849|    2.611|1.2703e-05|   8.5373e-08|     6.1988|         0.3920|      9.0167|       1.7412|
|GRB120908938|  66.945|    2.988|5.1596e-06|   1.1179e-07|     2.6048|         0.2384|      5.1898|       2.3675|
|GRB120909070| 112.066|   10.419|9.8480e-06|   1.5373e-07|     3.0275|         0.1900|      4.3802|       1.0105|
|GRB120911298|  22.016|    1.833|2.3432e-06|   4.2500e-08|     4.3081|         0.2733|      6.9829|       1.6014|
|GRB120913846|  33.792|    1.379|1.5647e-06|   2.5601e-08|     4.4414|         0.2402|      6.4507|       1.3631|
|GRB120913997| 130.050|    3.566|2.0280e-05|   7.5478e-08|     5.2670|         0.2780|      7.3936|       1.2519|
|GRB120914144|  10.240|    4.048|7.3497e-07|   3.5332e-08|     3.5801|         0.2983|      4.7955|       1.1099|
|GRB120915000|   0.576|    1.318|5.0545e-07|   2.5476e-08|     2.2540|         0.2205|      6.0365|       0.9272|
|GRB120915474|   5.888|    0.923|3.8288e-07|   2.4656e-08|     1.2411|         0.2092|      3.7136|       1.1139|
|GRB120916085|   1.280|    1.493|7.3336e-08|   1.0412e-08|     1.1299|         0.1466|      4.1375|       0.8495|
|GRB120916173|  52.993|    0.810|1.4167e-05|   5.3783e-08|    10.2191|         0.3034|      3.5652|       1.1650|
|GRB120919052| 118.018|    0.362|2.0674e-05|   3.8149e-08|     8.9868|         0.2970|     13.7273|       1.2907|
|GRB120919309|  21.248|    1.810|1.6780e-05|   5.2425e-08|    24.5176|         0.3444|     28.1425|       1.4686|
|GRB120919816|  20.480|    1.305|1.1356e-06|   2.2108e-08|     3.1364|         0.2162|      5.6821|       1.0463|
|GRB120920003|  28.160|    4.382|1.0033e-06|   3.1506e-08|     1.1391|         0.1756|      3.3220|       1.0031|
|GRB120921877|   5.632|    1.145|2.4783e-06|   3.1034e-08|    10.3248|         0.3913|     12.3393|       1.4901|
|GRB120922939| 182.275|   19.777|8.2080e-06|   1.6867e-07|     3.4134|         0.2786|      5.6272|       1.4286|
|GRB120926335|   4.288|    1.833|2.4776e-06|   4.8167e-08|    12.0381|         0.3405|     18.6163|       1.3538|
|GRB120926426|  60.161|    3.482|4.3826e-06|   9.1741e-08|     3.9374|         0.2969|      6.9881|       1.4453|
|GRB120926753|   3.072|    2.064|1.8784e-07|   2.4283e-08|     1.1842|         0.2132|      3.4903|       1.0058|
|GRB121004211|   1.536|    0.572|3.7942e-07|   1.0625e-08|     3.4773|         0.2676|      5.8357|       1.2366|
|GRB121005030|  96.768|    3.556|3.7314e-06|   6.3501e-08|     2.7799|         0.3361|      7.1003|       1.9846|
|GRB121005340| 141.568|    3.665|5.1687e-06|   5.3824e-08|     2.6733|         0.2139|      4.3653|       1.1115|
|GRB121008424|   3.456|    0.345|3.9179e-07|   1.0909e-08|     2.7344|         0.2558|      4.8636|       1.3394|
|GRB121011469|  65.793|    4.382|3.9843e-06|   3.6260e-08|     2.1654|         0.1994|      3.7275|       1.0309|
|GRB121012724|   0.448|    0.091|1.2729e-06|   1.0012e-08|     4.3081|         0.1941|     12.4083|       1.0918|
|GRB121014638|   0.576|    0.979|1.2954e-07|   2.1590e-08|     1.3802|         0.1779|      3.2712|       0.9878|
|GRB121019233|  14.336|    7.907|5.8857e-07|   8.3598e-08|     1.2258|         0.1956|      4.4253|       1.1268|
|GRB121023322|   0.512|    0.181|7.7268e-07|   3.8266e-08|     4.6177|         0.2734|     11.0238|       1.3825|
|GRB121027038| 166.915|    3.692|7.3949e-06|   6.5268e-08|     2.9216|         0.3810|      7.1608|       1.9538|
|GRB121028280|  11.008|    2.360|9.9778e-07|   2.8314e-08|     2.7662|         0.2534|      4.5620|       1.2514|
|GRB121029350|  15.808|    0.572|7.8146e-06|   5.8005e-08|    13.2549|         0.2957|     18.0980|       1.1653|
|GRB121031949| 242.436|    4.404|1.4540e-05|   1.3755e-07|     7.4391|         0.7378|     16.4283|      19.4088|
|GRB121102064|   2.048|    1.379|5.6716e-07|   6.2265e-08|     1.9750|         0.2418|      3.2678|       1.1777|
|GRB121104627|  59.137|    7.241|4.4463e-06|   1.1651e-07|     3.2810|         0.2395|      4.8280|       1.0917|
|GRB121109338|  22.144|    2.919|5.3365e-06|   6.5419e-08|     4.2952|         0.3191|      6.1721|       1.6658|
|GRB121112806|   1.280|    1.358|2.2315e-07|   3.2195e-08|     1.4505|         0.1711|      3.7375|       0.7812|
|GRB121113544|  95.490|    2.611|2.6848e-05|   7.8198e-08|     7.3986|         0.3096|     10.8145|       1.4057|
|GRB121116459|   0.832|    0.590|4.9152e-07|   1.3754e-08|     3.3349|         0.3536|      7.2602|       1.2820|
|GRB121117018| 331.782|    4.048|1.0632e-05|   6.8216e-08|     4.6359|         0.2403|      6.1992|       0.9793|
|GRB121118576|  33.277|    0.808|6.7077e-06|   3.5376e-08|    11.5967|         0.3053|     29.9445|       1.5073|
|GRB121119579|   2.304|    0.429|8.8147e-07|   2.3576e-08|     5.3696|         0.2807|      9.5846|       1.2748|
|GRB121122564|   8.704|    0.724|8.1464e-07|   1.7939e-08|     4.4045|         0.2053|      6.1316|       1.0949|
|GRB121122870| 125.439|    0.724|9.0704e-06|   5.9915e-08|     5.1152|         0.2692|      7.2158|       1.2251|
|GRB121122885|   7.936|    0.572|3.8485e-05|   1.5508e-07|    36.7185|         1.6496|     46.5078|       8.0591|
|GRB121123421| 102.338|   31.849|2.1978e-05|   7.8803e-07|     4.0024|         0.2466|      5.5510|       1.1067|
|GRB121123442|  42.497|    1.999|1.4232e-05|   1.0312e-07|     6.3556|         0.2852|      8.9768|       1.3341|
|GRB121124606|   0.256|    0.842|5.6602e-08|   1.4227e-08|     0.8525|         0.2161|      5.3311|       1.2490|
|GRB121125356|  49.857|    2.099|6.5605e-06|   6.7469e-08|     4.1647|         0.2557|      6.5651|       1.3039|
|GRB121125469|  12.864|    4.844|8.5676e-07|   2.6509e-08|     2.2438|         0.1938|      3.2752|       1.0136|
|GRB121127914|   0.640|    0.405|1.5847e-06|   4.9847e-08|     4.6315|         0.3040|     20.3580|       1.6580|
|GRB121128212|  17.344|    0.923|9.2979e-06|   1.1379e-07|    17.8939|         0.5238|     26.1815|       2.3522|
|GRB121202181|  17.152|    1.999|2.0056e-06|   5.1266e-08|     1.9490|         0.1723|      4.0857|       1.3403|
|GRB121205507|   2.816|    0.231|1.3345e-07|   7.5064e-09|     1.0813|         0.2156|      3.9785|       1.3575|
|GRB121210081|  12.800|    3.238|2.0243e-06|   6.0656e-08|     1.8089|         0.2130|      5.2625|       1.5313|
|GRB121211574|   5.632|    1.717|6.4144e-07|   3.9522e-08|     2.3651|         0.2411|      4.2999|       1.0730|
|GRB121211695|   8.960|    1.864|1.3395e-06|   3.6512e-08|     4.5786|         0.2450|      6.2443|       1.1597|
|GRB121216419|   9.216|    2.560|3.8503e-07|   2.4751e-08|     1.8541|         0.2046|      3.4977|       1.0731|
|GRB121217313| 828.672|   11.363|6.7667e-06|   6.5604e-08|     3.3554|         0.2746|      5.2324|       1.2441|
|GRB121220311|   5.120|    0.810|4.5315e-07|   2.7791e-08|     1.2115|         0.1943|      2.7317|       0.9258|
|GRB121221916|  38.913|    2.290|5.0386e-06|   4.9869e-08|     3.9711|         0.2205|      6.0063|       1.0518|
|GRB121223300|  11.005|    0.724|7.0166e-06|   1.9937e-08|     7.7411|         0.2384|      9.4036|       1.0721|
|GRB121225417|  58.497|    0.820|6.9580e-05|   1.9110e-07|    23.6129|         0.4117|     29.8767|       1.8080|
|GRB121229533|  23.037|    1.810|3.5082e-06|   3.7060e-08|     3.6406|         0.2423|      6.0948|       1.1574|
|GRB121231445|  32.768|    5.152|2.9369e-06|   7.2247e-08|     2.7869|         0.2577|      5.9836|       1.2466|
|GRB130104721|  26.368|    3.593|5.6683e-06|   5.6314e-08|     6.6790|         0.2878|      8.7981|       1.2324|
|GRB130106829|  11.264|    1.379|1.5865e-06|   4.3176e-08|     3.3673|         0.2399|      4.5384|       1.0699|
|GRB130106995|  70.401|    0.572|1.5435e-05|   6.7999e-08|     7.3720|         0.4436|     10.5066|       1.8023|
|GRB130109206|   8.960|    1.208|2.5352e-06|   6.7822e-08|     6.7588|         0.2641|      8.7975|       1.1087|
